file_id,t1,la1,la2,mu_over_la1,mu_over_la2,max_time,num_old_lineages,total_leaves,tree_height,ratio_la,ratio_mu
0,6.874351450451432,0.7057695425727474,0.8266048427951316,0.303986077482263,0.3584158604609488,9.594082514632872,65,374,9.594082514632872,0.8538173333054953,0.8481379063173008
3,7.090529518433675,0.980518770567507,0.5601176590246392,0.6644124624410873,0.094559857740746,10.659524037142914,27,162,10.659524037142914,1.7505585742019512,7.026369099060001
5,7.57348564995679,0.9377312958516992,0.22777418773634672,0.5514616944556471,0.3968005116139213,11.237167564886255,131,250,11.237167564886255,4.116933991384232,1.3897706235626226
9,4.346449244418965,0.9539281598163086,0.5454246713373674,0.200475593992373,0.40316355936788273,8.770217370876592,36,264,8.770217370876592,1.748964082386118,0.497256235922456
8,4.107040920592697,0.9414423510629358,0.6711243485553524,0.41395974271880726,0.682221393591732,7.575114366947392,36,174,7.575114366947392,1.4027837808141874,0.6067821188359522
11,5.3001290304972235,0.7995153241435303,0.5571428827179159,0.4802866333729197,0.6137066239921483,11.924775241892606,24,302,11.924775241892606,1.435027438999573,0.7825997220767564
1,7.7552434652946625,0.30043568854069436,0.6514644061833632,0.6180565658792196,0.12430706114551467,10.67443303008793,26,150,10.67443303008793,0.4611697672031107,4.972014945761758
12,5.282229802631582,0.6570461664286709,0.7482849196898136,0.12737617168580212,0.7822867754212557,11.69181717364245,21,223,11.69181717364245,0.8780695015222759,0.16282541861609637
14,4.430409021843474,0.8492355445827052,0.41379675785552494,0.3806129794018899,0.3435338765495657,10.618292892223995,61,515,10.618292892223995,2.05230110787676,1.107934341802749
10,6.679695657949069,0.693648987231933,0.9940146190557899,0.3875943966728858,0.11722232243727844,10.632153290687071,23,798,10.632153290687071,0.6978257401192219,3.3064896566972046
2,4.9942067651972,0.538228952555818,0.3556864154564329,0.2355530477670862,0.2561172610559425,7.58903273866278,43,107,7.58903273866278,1.5132120012656043,0.9197078197538409
17,6.196752859962842,0.5643670742860573,0.5554547529876437,0.5561945072348045,0.10016973723829546,11.796262273231076,31,654,11.796262273231076,1.0160450896323716,5.552520377603308
16,7.798407380203095,0.38591401008521037,0.6689520648815261,0.6523697776936369,0.5502120434145151,11.172364986710091,24,102,11.172364986710091,0.5768933685159596,1.1856697531467133
18,6.214574330310038,0.7679253169704967,0.08154331625207523,0.5848780935193392,0.4692365868160498,10.68283552942546,75,115,10.68283552942546,9.417391299080917,1.2464460571754674
7,4.07204784689479,0.9458865039164382,0.0775389501102657,0.2689044838326913,0.8896998256345469,10.61312990063441,117,186,10.61312990063441,12.198856220922812,0.30224180795011923
19,7.3526142979150215,0.38829144165066515,0.9726272430130425,0.10937859461728225,0.2550110997730414,11.527843523346691,26,684,11.527843523346691,0.39921917100306675,0.4289169950430732
6,6.99621344317097,0.14413149564353434,0.44491785022074026,0.09597673350421333,0.17485658708360277,11.491310903152463,20,126,11.491310903152463,0.3239508047879521,0.5488882924286104
13,5.973271233607993,0.730134090023795,0.6655800548491974,0.8921057003426109,0.47164885321080097,10.272893435595785,27,252,10.272893435595785,1.0969891370756655,1.8914616123192163
4,5.382969646493407,0.811586703290257,0.39663966606500956,0.43248625304889354,0.870823156346762,9.148853232939366,42,126,9.148853232939366,2.0461561783314863,0.4966407357186508
15,4.780634117436749,0.8933856425802795,0.8148308318466645,0.3844542815838514,0.5364261384219413,11.372223609409382,20,559,11.372223609409382,1.0964062817254778,0.716695653039651
